delay,degree,conditions,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,visualstimulus.started,line1.started,line1.stopped,visualstimulus.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.4,120,exp,0,10,10,10,56.322550699987914,,56.297560999999405,56.322550699987914,57.30724109998846,57.30724109998846,57.3247132999968,57.82448640000075,space,0.48652959999162704,None,57.825708299991675,58.23892389998946,58.571964999995544,58.525933600001736,58.526016599993454,58.571964999995544,58.571964999995544,58.571964999995544,62.09140130000014,400,1,[3.560310100001516],[3.56034670000372],01,001,2023-11-07_16h24.20.265,intentionalbindingtask,2023.2.3,59.826002054005954,2023-11-07 16h24.35.735049 +0530,
0.7,120,exp,0,11,11,8,62.12066159999813,,62.09460609999951,62.12066159999813,63.10571869999694,63.10571869999694,63.12314979999792,63.60826549999183,space,0.48894989999826066,None,63.60945859999629,64.32328450000205,64.66999099998793,64.62322769999446,64.62328809998871,64.66999099998793,64.66999099998793,64.66999099998793,67.26100889999361,700,1,[2.6332435999938753],[2.633273499988718],01,001,2023-11-07_16h24.20.265,intentionalbindingtask,2023.2.3,59.826002054005954,2023-11-07 16h24.35.735049 +0530,
0.1,120,exp,1,0,12,6,67.28579819999868,,67.2636949000007,67.28579819999868,68.27049929999339,68.27049929999339,68.28764989999763,68.79138669998792,space,0.5076548000070034,None,68.7927151999902,68.90410349999729,69.23558619999676,69.19085259998974,69.19091369998932,69.23558619999676,69.23558619999676,69.23558619999676,75.41987489999156,50,1,[6.224172300004284],[6.224200399999972],01,001,2023-11-07_16h24.20.265,intentionalbindingtask,2023.2.3,59.826002054005954,2023-11-07 16h24.35.735049 +0530,
0.1,120,exp,1,1,13,9,75.43563339998946,,75.42228859999159,75.43563339998946,76.43531819999043,76.43531819999043,76.43531819999043,76.95539019998978,space,0.5101160999911372,None,76.9569979999942,77.06872419999854,77.39958729999489,77.35517959999561,77.35524229999282,77.39958729999489,77.39958729999489,77.39958729999489,79.90749069998856,50,1,[2.546675299992785],[2.5467157999955816],01,001,2023-11-07_16h24.20.265,intentionalbindingtask,2023.2.3,59.826002054005954,2023-11-07 16h24.35.735049 +0530,
0.7,120,exp,1,2,14,8,79.93167589999211,,79.9099497999996,79.93167589999211,80.91697469999781,80.91697469999781,80.93565169999783,81.4703268000012,space,0.545666899997741,None,81.47167049998825,82.18347350000113,82.51487119999365,82.46818440000061,82.46824399998877,82.51487119999365,82.51487119999365,82.51487119999365,85.09600409999257,400,1,[2.622784999999567],[2.622818100004224],01,001,2023-11-07_16h24.20.265,intentionalbindingtask,2023.2.3,59.826002054005954,2023-11-07 16h24.35.735049 +0530,
0.4,60,unexp,1,3,15,1,85.12021029999596,,85.10015879999264,85.12021029999596,86.09854949999135,86.09854949999135,86.13187689999177,86.68261839999468,space,0.5534984999976587,None,86.68380119999347,87.1136422999989,87.44633009999234,87.39946649999183,87.39952329998778,87.44633009999234,87.44633009999234,87.44633009999234,90.13158180000028,300,1,[2.727178200002527],[2.727201100002276],01,001,2023-11-07_16h24.20.265,intentionalbindingtask,2023.2.3,59.826002054005954,2023-11-07 16h24.35.735049 +0530,
0.1,60,unexp,1,4,16,0,90.14762609999161,,90.13401799999701,90.14762609999161,91.14740799998981,91.14740799998981,91.14740799998981,91.83113529998809,space,0.6536401999910595,None,91.83226759999525,91.94644020000123,92.2785440000007,92.23143459999119,92.2314910999994,92.2785440000007,92.2785440000007,92.2785440000007,94.56661059999897,50,1,[2.330500900003244],[2.3305314000026556],01,001,2023-11-07_16h24.20.265,intentionalbindingtask,2023.2.3,59.826002054005954,2023-11-07 16h24.35.735049 +0530,
0.4,120,exp,1,5,17,4,94.59436899999855,,94.56923850000021,94.59436899999855,95.58103119999578,95.58103119999578,95.59542230000079,96.21522519999417,space,0.6205276999971829,None,96.21647020000091,96.62822849999066,96.96010139999271,96.91462519999186,96.9146819999878,96.96010139999271,96.96010139999271,96.96010139999271,99.9481708999956,300,1,[3.02899449999677],[3.0290253999992274],01,001,2023-11-07_16h24.20.265,intentionalbindingtask,2023.2.3,59.826002054005954,2023-11-07 16h24.35.735049 +0530,
0.4,120,exp,1,6,18,7,99.97547759998997,,99.95088359998772,99.97547759998997,100.97529839999333,100.97529839999333,100.9932448999898,101.39351749999332,space,0.3882409999932861,None,101.39457219999167,101.79340039999806,102.12519289999909,102.07835699999123,102.07843480000156,102.12519289999909,102.12519289999909,102.12519289999909,107.37595549999969,200,1,[5.293372200001613],[5.293420200003311],01,001,2023-11-07_16h24.20.265,intentionalbindingtask,2023.2.3,59.826002054005954,2023-11-07 16h24.35.735049 +0530,
0.4,120,exp,1,7,19,10,107.39181909999752,,107.37832329999947,107.39181909999752,108.39206579999882,108.39206579999882,108.39206579999882,108.71363009999914,space,0.3163099999947008,None,108.71523049999087,109.12745619998896,109.4727484999894,109.42612749998807,109.42618549999315,109.4727484999894,109.4727484999894,109.4727484999894,112.27454359999683,400,1,[2.84421100000327],[2.8442345000075875],01,001,2023-11-07_16h24.20.265,intentionalbindingtask,2023.2.3,59.826002054005954,2023-11-07 16h24.35.735049 +0530,
